mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__max_depth,param_classifier__max_features,param_classifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.8390830039978028,0.03946894445437624,0.237273645401001,0.02211183956413051,,sqrt,100,"{'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 100}",0.6981132075471698,0.6666666666666666,0.7413793103448276,0.76,0.8141592920353983,0.7360636953188124,0.05090444338025395,7,0.9837587006960556,0.9815668202764977,0.9791183294663574,0.9814814814814815,0.9814814814814815,0.9814813626803748,0.0014681619418291227
1.6117027759552003,0.14941950977755386,0.1939321994781494,0.014332063842313017,,sqrt,200,"{'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 200}",0.6981132075471698,0.6851851851851852,0.7413793103448276,0.7766990291262136,0.7964601769911505,0.7395673818389092,0.043115436526859945,3,0.9837587006960556,0.9815668202764977,0.9791183294663574,0.9814814814814815,0.9814814814814815,0.9814813626803748,0.0014681619418291227
0.8561907291412354,0.24056622876400516,0.1354743003845215,0.013989866435629113,,log2,100,"{'classifier__max_depth': None, 'classifier__max_features': 'log2', 'classifier__n_estimators': 100}",0.6981132075471698,0.6666666666666666,0.7413793103448276,0.76,0.8141592920353983,0.7360636953188124,0.05090444338025395,7,0.9837587006960556,0.9815668202764977,0.9791183294663574,0.9814814814814815,0.9814814814814815,0.9814813626803748,0.0014681619418291227
1.727210283279419,0.06805794822342008,0.23025002479553222,0.03780901658063106,,log2,200,"{'classifier__max_depth': None, 'classifier__max_features': 'log2', 'classifier__n_estimators': 200}",0.6981132075471698,0.6851851851851852,0.7413793103448276,0.7766990291262136,0.7964601769911505,0.7395673818389092,0.043115436526859945,3,0.9837587006960556,0.9815668202764977,0.9791183294663574,0.9814814814814815,0.9814814814814815,0.9814813626803748,0.0014681619418291227
1.0220255851745605,0.13598843840766328,0.19919157028198242,0.026416654565843765,5,sqrt,100,"{'classifier__max_depth': 5, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 100}",0.7524752475247525,0.7142857142857143,0.7722772277227723,0.6736842105263158,0.7722772277227723,0.7369999255564654,0.03808746998612384,5,0.7969543147208121,0.7960199004975125,0.7989949748743719,0.7970297029702971,0.7978723404255319,0.7973742466977052,0.0010004163193022858
2.0184611797332765,0.11504901115099134,0.19727811813354493,0.06943518295391689,5,sqrt,200,"{'classifier__max_depth': 5, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 200}",0.76,0.7142857142857143,0.7647058823529411,0.6808510638297872,0.7843137254901961,0.7408312771917277,0.03776361455336131,1,0.7848101265822784,0.7950617283950617,0.8020050125313283,0.7960199004975125,0.8010610079575596,0.7957915551927481,0.006124553005707541
1.1607774257659913,0.1405467226012233,0.23180346488952636,0.03551146597765953,5,log2,100,"{'classifier__max_depth': 5, 'classifier__max_features': 'log2', 'classifier__n_estimators': 100}",0.7524752475247525,0.7142857142857143,0.7722772277227723,0.6736842105263158,0.7722772277227723,0.7369999255564654,0.03808746998612384,5,0.7969543147208121,0.7960199004975125,0.7989949748743719,0.7970297029702971,0.7978723404255319,0.7973742466977052,0.0010004163193022858
1.635005283355713,0.332019523902804,0.26616201400756834,0.07760547727963933,5,log2,200,"{'classifier__max_depth': 5, 'classifier__max_features': 'log2', 'classifier__n_estimators': 200}",0.76,0.7142857142857143,0.7647058823529411,0.6808510638297872,0.7843137254901961,0.7408312771917277,0.03776361455336131,1,0.7848101265822784,0.7950617283950617,0.8020050125313283,0.7960199004975125,0.8010610079575596,0.7957915551927481,0.006124553005707541
0.9456746578216553,0.15926248625676634,0.18845009803771973,0.031603150526047584,10,sqrt,100,"{'classifier__max_depth': 10, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 100}",0.7647058823529411,0.6666666666666666,0.7567567567567568,0.6804123711340206,0.7927927927927928,0.7322668939406356,0.04961392372253141,9,0.9330143540669856,0.9456264775413712,0.9428571428571428,0.9343065693430657,0.9448441247002398,0.940129733701761,0.0053743149613889795
2.757067012786865,0.06346582206233789,0.4175818920135498,0.018054778015432642,10,sqrt,200,"{'classifier__max_depth': 10, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 200}",0.7572815533980582,0.6868686868686869,0.7368421052631579,0.6804123711340206,0.7964601769911505,0.7315729787310149,0.043623215114153735,11,0.9397590361445783,0.9550827423167849,0.9451073985680191,0.9368932038834952,0.9448441247002398,0.9443373011226235,0.006207890472394089
1.6319900512695313,0.0736264561207902,0.3213793754577637,0.0125641603627825,10,log2,100,"{'classifier__max_depth': 10, 'classifier__max_features': 'log2', 'classifier__n_estimators': 100}",0.7647058823529411,0.6666666666666666,0.7567567567567568,0.6804123711340206,0.7927927927927928,0.7322668939406356,0.04961392372253141,9,0.9330143540669856,0.9456264775413712,0.9428571428571428,0.9343065693430657,0.9448441247002398,0.940129733701761,0.0053743149613889795
2.3379122257232665,0.6335042816192574,0.18735852241516113,0.018882558725678678,10,log2,200,"{'classifier__max_depth': 10, 'classifier__max_features': 'log2', 'classifier__n_estimators': 200}",0.7572815533980582,0.6868686868686869,0.7368421052631579,0.6804123711340206,0.7964601769911505,0.7315729787310149,0.043623215114153735,11,0.9397590361445783,0.9550827423167849,0.9451073985680191,0.9368932038834952,0.9448441247002398,0.9443373011226235,0.006207890472394089
